vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
13          TBDR-002    0                   51.26                56                  0.03                   10.71                 9.39                  0.0                111            
13          TBDR-003    0                   51.25                56                  0.03                   8.89                  11.02                 0.0                111            
13          TBDR-004    0                   48.4                 56                  0.01                   11.93                 10.4                  0.0                111            
13          TBDR-005    0                   48.19                56                  0.01                   9.4                   11.88                 0.0                111            
13          TBDR-006    0                   48.18                56                  0.01                   11.25                 10.34                 0.0                111            
13          TBDR-007    20                  48.17                56                  0.0                    10.74                 11.83                 0.0                111            
13          TBDR-008    20                  48.17                56                  0.0                    10.26                 10.71                 0.0                111            
13          TBDR-009    28                  48.15                56                  0.0                    10.25                 10.24                 0.0                111            
14          TBDR-000    20                  49.33                56                  0.0                    11.02                 9.82                  0.0                102            
14          TBDR-001    20                  49.3                 56                  0.0                    10.98                 9.9                   0.0                102            
14          TBDR-002    20                  49.28                56                  0.0                    11.06                 10.08                 0.0                102            
14          TBDR-003    20                  49.28                56                  0.0                    11.22                 9.85                  0.0                102            
14          TBDR-004    20                  49.27                56                  0.0                    10.91                 9.9                   0.0                102            
14          TBDR-005    20                  49.22                56                  0.0                    11.11                 9.95                  0.0                102            
14          TBDR-006    20                  49.22                56                  0.0                    11.51                 9.78                  0.0                102            
14          TBDR-007    20                  49.22                56                  0.0                    10.83                 10.25                 0.0                102            
14          TBDR-008    20                  49.22                56                  0.0                    11.44                 10.14                 0.0                102            
14          TBDR-009    23                  49.21                56                  0.0                    10.74                 9.92                  0.0                102            
15          TBDR-000    0                   33.17                56                  10.45                  13.48                 11.79                 0.0                334            
15          TBDR-001    0                   32.92                56                  10.45                  13.39                 11.69                 0.0                334            
15          TBDR-002    0                   32.87                56                  10.45                  13.24                 11.66                 0.0                334            
15          TBDR-003    0                   32.84                56                  10.45                  13.37                 11.54                 0.0                334            
15          TBDR-004    0                   32.82                56                  10.45                  13.25                 11.47                 0.0                334            
15          TBDR-005    0                   32.79                56                  10.45                  13.17                 11.56                 0.0                334            
15          TBDR-006    0                   32.64                56                  10.45                  13.09                 11.38                 0.0                334            
15          TBDR-007    0                   32.64                56                  10.45                  12.97                 11.35                 0.0                334            
15          TBDR-008    0                   32.63                56                  10.45                  13.03                 11.44                 0.0                334            
15          TBDR-009    0                   32.16                56                  10.45                  12.96                 11.42                 0.0                334            
16          TBDR-000    0                   30.21                56                  16.07                  14.72                 11.47                 0.0                185            
16          TBDR-001    0                   30.21                56                  16.07                  14.29                 11.09                 0.0                185            
16          TBDR-002    0                   30.2                 56                  16.07                  14.58                 11.05                 0.0                185            
16          TBDR-003    0                   30.18                56                  16.07                  14.19                 11.29                 0.0                185            
16          TBDR-004    0                   30.16                56                  16.07                  14.02                 11.16                 0.0                185            
16          TBDR-005    0                   30.15                56                  16.07                  14.09                 11.22                 0.0                185            
16          TBDR-006    0                   30.15                56                  16.07                  13.87                 11.22                 0.0                185            
16          TBDR-007    0                   30.08                56                  16.07                  14.06                 11.25                 0.0                185            
16          TBDR-008    0                   30.08                56                  16.07                  13.88                 11.18                 0.0                185            
16          TBDR-009    0                   30.07                56                  16.07                  13.99                 11.1                  0.0                185            
17          TBDR-000    0                   33.23                56                  8.89                   14.06                 10.91                 0.0                232            
17          TBDR-001    0                   32.04                56                  10.32                  14.44                 11.15                 0.0                232            
